Date,Time,Class,Count
2024-07-29,16:56:00,motorcycle,9
2024-07-29,16:56:00,car,26
2024-07-29,16:57:00,car,2
2024-07-29,16:58:00,car,3
2024-07-29,16:59:00,car,1
2024-07-29,17:01:00,car,1
2024-07-29,17:02:00,car,2
2024-07-29,17:02:00,car,5
2024-07-29,17:04:00,truck,1
2024-07-29,17:04:00,car,1
2024-07-29,17:05:00,car,1
2024-07-29,17:05:00,car,2
2024-07-29,17:05:00,truck,1
2024-07-29,17:06:00,truck,2
2024-07-29,17:06:00,car,2
2024-07-29,17:06:00,car,3
2024-07-29,17:07:00,car,1
2024-07-29,17:08:00,person,1
2024-07-29,17:08:00,car,1
2024-07-29,17:09:00,person,1
2024-07-29,17:09:00,car,1
2024-07-29,17:10:00,car,1
2024-07-29,17:11:00,car,2
2024-07-29,17:18:00,car,9
2024-07-29,17:19:00,car,21
2024-07-29,17:19:00,person,7
2024-07-29,17:21:00,car,1
2024-07-29,17:21:00,car,2
2024-07-29,17:21:00,person,1
2024-07-29,17:22:00,car,1
2024-07-29,17:23:00,car,1
2024-07-29,17:29:00,car,3
2024-07-29,17:30:00,car,1
2024-07-29,17:30:00,car,2
2024-07-29,17:31:00,car,3
2024-07-29,17:31:00,car,7
2024-07-29,17:31:00,person,1
2024-07-29,17:31:00,person,2
2024-07-29,17:32:00,car,1
2024-07-29,17:32:00,car,2
2024-07-29,17:32:00,car,3
2024-07-29,17:35:00,car,4
2024-07-29,17:36:00,car,2
2024-07-29,17:37:00,car,2
2024-07-29,17:37:00,car,3
2024-07-29,17:38:00,car,1
2024-07-29,17:39:00,person,2
2024-07-29,17:40:00,car,2
2024-07-29,17:42:00,car,2
2024-07-29,17:44:00,car,2
2024-07-29,17:45:00,car,1
2024-07-29,17:46:00,car,1
2024-07-29,17:47:00,car,1
2024-07-29,17:47:00,car,2
2024-07-29,17:47:00,car,3
2024-07-29,17:49:00,car,1
2024-07-29,17:49:00,car,2
2024-07-29,17:50:00,person,1
2024-07-29,17:51:00,car,1
2024-07-29,17:51:00,car,2
2024-07-29,17:52:00,car,1
2024-07-29,17:53:00,car,1
2024-07-29,17:53:00,car,2
2024-07-29,17:54:00,person,1
2024-07-29,17:55:00,car,1
2024-07-29,17:56:00,car,1
2024-07-29,17:57:00,car,3
2024-07-29,17:57:00,car,4
2024-07-29,17:59:00,person,1
2024-07-29,17:59:00,person,2
2024-07-29,18:01:00,car,1
2024-07-29,18:02:00,car,1
2024-07-29,18:03:00,car,1
2024-07-29,18:03:00,car,3
2024-07-29,18:03:00,car,4
2024-07-29,18:04:00,car,1
2024-07-29,18:05:00,car,1
2024-07-29,18:05:00,car,2
2024-07-29,18:06:00,car,3
2024-07-29,18:06:00,person,1
2024-07-29,18:06:00,car,4
2024-07-29,18:07:00,car,2
2024-07-29,18:07:00,truck,2
2024-07-29,18:07:00,person,1
2024-07-29,18:07:00,car,5
2024-07-29,18:07:00,person,2
2024-07-29,18:07:00,car,6
2024-07-29,18:08:00,car,3
2024-07-29,18:08:00,car,7
2024-07-29,18:08:00,person,1
2024-07-29,18:08:00,motorcycle,1
2024-07-29,18:09:00,car,2
2024-07-29,18:09:00,car,3
2024-07-29,18:10:00,car,5
2024-07-29,18:11:00,person,1
2024-07-29,18:11:00,car,1
2024-07-29,18:12:00,person,1
2024-07-29,18:12:00,car,1
2024-07-29,18:12:00,car,2
2024-07-29,18:13:00,car,1
2024-07-29,18:13:00,person,1
2024-07-29,18:14:00,car,1
2024-07-29,18:15:00,car,1
2024-07-29,18:15:00,car,4
2024-07-29,18:15:00,person,2
2024-07-29,18:15:00,person,4
2024-07-29,18:16:00,car,2
2024-07-29,18:17:00,car,4
2024-07-29,18:18:00,car,2
2024-07-29,18:19:00,car,2
2024-07-29,18:20:00,person,1
2024-07-29,18:21:00,car,2
2024-07-29,18:22:00,car,1
2024-07-29,18:22:00,person,1
2024-07-29,18:23:00,car,4
2024-07-29,18:23:00,car,7
2024-07-29,18:24:00,car,1
2024-07-29,18:24:00,person,1
2024-07-29,18:26:00,car,1
2024-07-29,18:26:00,car,3
2024-07-29,18:28:00,car,1
2024-07-29,18:30:00,car,1
2024-07-29,18:31:00,car,1
2024-07-29,18:31:00,truck,1
2024-07-29,18:32:00,car,1
2024-07-29,18:32:00,car,2
2024-07-29,18:33:00,car,1
2024-07-29,18:34:00,car,1
2024-07-29,18:39:00,car,1
2024-07-29,18:41:00,person,1
2024-07-29,18:43:00,car,2
2024-07-29,18:44:00,car,1
2024-07-29,18:45:00,car,2
2024-07-29,18:46:00,car,1
2024-07-29,18:48:00,car,1
2024-07-29,18:49:00,car,1
2024-07-29,18:50:00,person,1
2024-07-29,18:50:00,car,2
2024-07-29,18:51:00,truck,1
2024-07-29,18:51:00,car,1
2024-07-29,18:52:00,car,1
2024-07-29,18:53:00,person,1
2024-07-29,18:55:00,car,1
2024-07-29,18:56:00,car,1
2024-07-29,18:56:00,car,2
2024-07-29,18:58:00,car,1
2024-07-29,18:58:00,car,2
2024-07-29,19:02:00,car,1
2024-07-29,19:03:00,car,1
2024-07-29,19:03:00,truck,1
2024-07-29,19:04:00,car,1
2024-07-29,19:05:00,car,3
2024-07-29,19:05:00,car,4
2024-07-29,19:07:00,car,1
2024-07-29,19:07:00,car,2
2024-07-29,19:08:00,car,1
2024-07-29,19:11:00,car,3
2024-07-29,19:12:00,car,1
2024-07-29,19:13:00,car,1
2024-07-29,19:15:00,car,1
2024-07-29,19:15:00,car,3
2024-07-29,19:16:00,truck,1
2024-07-29,19:16:00,car,2
2024-07-29,19:18:00,car,2
2024-07-29,19:19:00,car,1
2024-07-29,19:21:00,car,2
2024-07-29,19:21:00,car,3
2024-07-29,19:22:00,person,1
2024-07-29,19:23:00,car,1
2024-07-29,19:28:00,car,1
2024-07-29,19:28:00,car,2
2024-07-29,19:30:00,car,1
2024-07-29,19:31:00,car,2
2024-07-29,19:32:00,car,2
2024-07-29,19:33:00,car,1
2024-07-29,19:33:00,car,2
2024-07-29,19:33:00,car,3
2024-07-29,19:38:00,car,1
2024-07-29,19:40:00,car,1
2024-07-29,19:42:00,car,1
2024-07-29,19:43:00,car,2
2024-07-29,19:43:00,car,3
2024-07-29,19:45:00,car,1
2024-07-29,19:48:00,car,1
2024-07-29,19:50:00,car,2
2024-07-29,19:50:00,car,4
2024-07-29,19:51:00,car,1
2024-07-29,19:55:00,car,1
2024-07-29,19:58:00,car,3
2024-07-29,19:58:00,car,5
2024-07-29,19:58:00,car,6
2024-07-29,19:59:00,car,2
2024-07-29,19:59:00,car,3
2024-07-29,19:59:00,car,4
2024-07-29,20:01:00,car,1
2024-07-29,20:01:00,car,3
2024-07-29,20:02:00,car,1
2024-07-29,20:03:00,car,1
2024-07-29,20:04:00,car,1
2024-07-29,20:06:00,car,2
2024-07-29,20:07:00,car,3
2024-07-29,20:09:00,person,1
2024-07-29,20:10:00,car,2
2024-07-29,20:11:00,car,2
2024-07-29,20:14:00,car,1
2024-07-29,20:14:00,car,3
2024-07-29,20:15:00,car,1
2024-07-29,20:17:00,car,1
2024-07-29,20:17:00,car,2
2024-07-29,20:17:00,person,1
2024-07-29,20:18:00,car,2
2024-07-29,20:19:00,car,1
2024-07-29,20:19:00,car,3
2024-07-29,20:21:00,car,2
2024-07-29,20:21:00,car,3
2024-07-29,20:22:00,car,2
2024-07-29,20:23:00,bus,1
2024-07-29,20:24:00,person,1
2024-07-29,20:24:00,car,1
2024-07-29,20:25:00,car,2
2024-07-29,20:26:00,car,1
2024-07-29,20:26:00,car,4
2024-07-29,20:28:00,car,1
2024-07-29,20:28:00,car,3
2024-07-29,20:31:00,car,3
2024-07-29,20:31:00,car,5
2024-07-29,20:31:00,car,6
2024-07-29,20:32:00,car,2
2024-07-29,20:34:00,truck,1
2024-07-29,20:35:00,car,3
2024-07-29,20:35:00,truck,1
2024-07-29,20:38:00,car,1
2024-07-29,20:39:00,car,2
2024-07-29,20:39:00,car,3
2024-07-29,20:40:00,motorcycle,1
2024-07-29,20:42:00,car,1
2024-07-29,20:43:00,car,1
2024-07-29,20:43:00,truck,1
2024-07-29,20:43:00,car,2
2024-07-29,20:44:00,car,1
2024-07-29,20:44:00,car,2
2024-07-29,20:45:00,truck,1
2024-07-29,20:46:00,car,1
2024-07-29,20:47:00,car,1
2024-07-29,20:49:00,car,1
2024-07-29,20:50:00,truck,1
2024-07-29,20:50:00,car,1
2024-07-29,20:58:00,car,1
2024-07-29,20:59:00,bus,1
2024-07-29,21:00:00,car,1
2024-07-29,21:08:00,car,1
2024-07-29,21:10:00,car,1
2024-07-29,21:11:00,car,1
2024-07-29,21:14:00,car,1
2024-07-29,21:14:00,car,2
2024-07-29,21:23:00,car,1
2024-07-29,21:25:00,car,1
2024-07-29,21:33:00,car,1
2024-07-29,21:38:00,car,1
2024-07-29,21:40:00,car,1
2024-07-29,21:41:00,car,1
2024-07-29,21:41:00,car,3
2024-07-29,21:44:00,car,1
2024-07-29,21:58:00,car,1
2024-07-29,22:00:00,car,1
2024-07-29,22:08:00,car,1
2024-07-29,22:10:00,car,1
2024-07-29,22:17:00,car,1
2024-07-29,22:29:00,car,1
2024-07-29,22:31:00,truck,1
2024-07-29,22:33:00,car,1
2024-07-29,22:46:00,car,2
2024-07-29,23:04:00,car,1
2024-07-29,23:21:00,car,1
2024-07-29,23:21:00,car,2
2024-07-29,23:28:00,car,1
2024-07-30,00:17:00,bus,1
2024-07-30,01:20:00,car,1
2024-07-30,01:22:00,truck,1
2024-07-30,01:39:00,car,1
2024-07-30,02:14:00,truck,1
2024-07-30,05:26:00,car,1
2024-07-30,06:25:00,car,1
2024-07-30,06:31:00,car,1
2024-07-30,06:33:00,car,1
2024-07-30,06:53:00,car,1
2024-07-30,06:55:00,person,1
2024-07-30,06:59:00,car,2
2024-07-30,07:00:00,car,1
2024-07-30,07:06:00,car,1
2024-07-30,07:14:00,car,1
2024-07-30,07:20:00,car,1
2024-07-30,07:23:00,car,1
2024-07-30,07:27:00,car,1
2024-07-30,07:34:00,car,1
2024-07-30,07:37:00,car,1
2024-07-30,07:41:00,car,1
2024-07-30,07:43:00,car,1
2024-07-30,07:51:00,car,1
2024-07-30,08:07:00,car,1
2024-07-30,08:08:00,person,1
2024-07-30,08:13:00,car,1
2024-07-30,08:16:00,car,1
2024-07-30,08:24:00,car,1
2024-07-30,08:27:00,car,1
2024-07-30,08:28:00,car,1
2024-07-30,08:30:00,car,1
2024-07-30,08:31:00,car,2
2024-07-30,08:40:00,car,1
2024-07-30,08:41:00,car,2
2024-07-30,08:42:00,car,1
2024-07-30,08:46:00,person,1
2024-07-30,08:51:00,car,1
2024-07-30,08:51:00,car,2
2024-07-30,08:58:00,car,1
2024-07-30,08:58:00,car,2
2024-07-30,09:00:00,car,1
2024-07-30,09:06:00,car,1
2024-07-30,09:12:00,car,1
2024-07-30,09:20:00,car,1
2024-07-30,09:23:00,car,1
2024-07-30,09:29:00,car,1
2024-07-30,09:30:00,car,2
2024-07-30,09:37:00,car,1
2024-07-30,09:38:00,car,1
2024-07-30,09:41:00,car,1
2024-07-30,09:42:00,car,1
2024-07-30,09:43:00,car,1
2024-07-30,09:51:00,car,1
2024-07-30,09:52:00,car,1
2024-07-30,09:54:00,car,1
2024-07-30,09:56:00,car,1
2024-07-30,10:00:00,car,1
2024-07-30,10:04:00,car,1
2024-07-30,10:06:00,car,1
2024-07-30,10:10:00,car,1
2024-07-30,10:12:00,car,1
2024-07-30,10:13:00,bus,1
2024-07-30,10:15:00,car,1
2024-07-30,10:18:00,car,1
2024-07-30,10:19:00,car,1
2024-07-30,10:21:00,car,1
2024-07-30,10:25:00,car,1
2024-07-30,10:27:00,car,1
2024-07-30,10:37:00,car,1
2024-07-30,10:39:00,car,1
2024-07-30,10:46:00,car,1
2024-07-30,10:46:00,car,2
2024-07-30,10:47:00,car,1
2024-07-30,10:51:00,car,1
2024-07-30,10:51:00,car,2
2024-07-30,10:56:00,car,1
2024-07-30,10:57:00,car,1
2024-07-30,10:58:00,car,1
2024-07-30,11:05:00,car,1
2024-07-30,11:06:00,car,1
2024-07-30,11:07:00,car,1
2024-07-30,11:07:00,car,2
2024-07-30,11:08:00,car,1
2024-07-30,11:11:00,car,1
2024-07-30,11:14:00,car,1
2024-07-30,11:16:00,car,1
2024-07-30,11:18:00,car,2
2024-07-30,11:19:00,car,1
2024-07-30,11:21:00,car,1
2024-07-30,11:23:00,car,1
2024-07-30,11:23:00,car,3
2024-07-30,11:26:00,car,1
2024-07-30,11:28:00,car,1
2024-07-30,11:30:00,car,1
2024-07-30,11:34:00,car,1
2024-07-30,11:36:00,car,1
2024-07-30,11:37:00,car,1
2024-07-30,11:39:00,car,1
2024-07-30,11:48:00,car,1
2024-07-30,11:51:00,car,1
2024-07-30,11:57:00,car,1
2024-07-30,12:04:00,car,1
2024-07-30,12:06:00,person,1
2024-07-30,12:07:00,car,1
2024-07-30,12:09:00,car,1
2024-07-30,12:12:00,truck,1
2024-07-30,12:13:00,car,1
2024-07-30,12:14:00,car,2
2024-07-30,12:15:00,truck,1
2024-07-30,12:15:00,car,2
2024-07-30,12:16:00,car,1
2024-07-30,12:17:00,car,1
2024-07-30,12:18:00,car,2
2024-07-30,12:20:00,car,1
2024-07-30,12:21:00,car,2
2024-07-30,12:22:00,car,2
2024-07-30,12:23:00,car,1
2024-07-30,12:25:00,car,3
2024-07-30,12:26:00,car,1
2024-07-30,12:27:00,car,1
2024-07-30,12:29:00,car,1
2024-07-30,12:30:00,car,1
2024-07-30,12:32:00,truck,1
2024-07-30,12:32:00,car,1
2024-07-30,12:38:00,car,1
2024-07-30,12:38:00,car,2
2024-07-30,12:41:00,car,1
2024-07-30,12:44:00,car,1
2024-07-30,12:44:00,car,2
2024-07-30,12:45:00,car,1
2024-07-30,12:49:00,car,1
2024-07-30,12:51:00,car,1
2024-07-30,12:53:00,car,2
2024-07-30,12:54:00,car,1
2024-07-30,12:55:00,car,1
2024-07-30,12:55:00,car,3
2024-07-30,12:56:00,car,1
2024-07-30,12:56:00,car,5
2024-07-30,12:57:00,car,1
2024-07-30,12:57:00,truck,1
2024-07-30,12:57:00,car,2
2024-07-30,13:01:00,car,1
2024-07-30,13:02:00,car,1
2024-07-30,13:03:00,car,2
2024-07-30,13:06:00,car,1
2024-07-30,13:07:00,car,2
2024-07-30,13:07:00,car,3
2024-07-30,13:09:00,car,1
2024-07-30,13:09:00,car,2
2024-07-30,13:11:00,car,1
2024-07-30,13:13:00,car,1
2024-07-30,13:15:00,car,1
2024-07-30,13:16:00,car,1
2024-07-30,13:16:00,person,1
2024-07-30,13:17:00,car,2
2024-07-30,13:19:00,person,1
2024-07-30,13:19:00,car,1
2024-07-30,13:19:00,person,2
2024-07-30,13:20:00,car,1
2024-07-30,13:21:00,car,1
2024-07-30,13:22:00,car,1
2024-07-30,13:24:00,car,2
2024-07-30,13:25:00,bus,1
2024-07-30,13:25:00,car,1
2024-07-30,13:25:00,car,2
2024-07-30,13:26:00,car,1
2024-07-30,13:30:00,car,1
2024-07-30,13:31:00,car,1
2024-07-30,13:33:00,car,2
2024-07-30,13:33:00,car,4
2024-07-30,13:33:00,motorcycle,1
2024-07-30,13:34:00,car,2
2024-07-30,13:34:00,car,3
2024-07-30,13:35:00,car,2
2024-07-30,13:37:00,car,2
2024-07-30,13:38:00,car,2
2024-07-30,13:40:00,car,1
2024-07-30,13:40:00,car,3
2024-07-30,13:41:00,car,2
2024-07-30,13:41:00,car,3
2024-07-30,13:46:00,car,2
2024-07-30,13:48:00,car,1
2024-07-30,13:49:00,car,1
2024-07-30,13:49:00,car,2
2024-07-30,13:50:00,car,1
2024-07-30,13:51:00,car,2
2024-07-30,13:51:00,car,3
2024-07-30,13:55:00,car,1
2024-07-30,13:57:00,car,1
2024-07-30,13:57:00,person,1
2024-07-30,14:00:00,car,3
2024-07-30,14:01:00,car,2
2024-07-30,14:01:00,car,4
2024-07-30,14:03:00,car,1
2024-07-30,14:04:00,car,1
2024-07-30,14:06:00,car,2
2024-07-30,14:06:00,car,3
2024-07-30,14:07:00,car,2
2024-07-30,14:10:00,car,1
2024-07-30,14:12:00,person,1
2024-07-30,14:13:00,car,1
2024-07-30,14:14:00,car,1
2024-07-30,14:15:00,car,1
2024-07-30,14:15:00,car,2
2024-07-30,14:16:00,car,1
2024-07-30,14:17:00,car,1
2024-07-30,14:19:00,car,1
2024-07-30,14:24:00,car,1
2024-07-30,14:25:00,car,1
2024-07-30,14:26:00,car,1
2024-07-30,14:26:00,car,3
2024-07-30,14:26:00,car,4
2024-07-30,14:28:00,car,1
2024-07-30,14:30:00,car,1
2024-07-30,14:31:00,car,1
2024-07-30,14:33:00,car,2
2024-07-30,14:34:00,car,1
2024-07-30,14:35:00,car,1
2024-07-30,14:36:00,car,1
2024-07-30,14:37:00,car,1
2024-07-30,14:38:00,car,1
2024-07-30,14:38:00,car,2
2024-07-30,14:39:00,car,1
2024-07-30,14:39:00,car,2
2024-07-30,14:43:00,car,1
2024-07-30,14:43:00,car,2
2024-07-30,14:44:00,car,1
2024-07-30,14:45:00,car,1
2024-07-30,14:45:00,car,2
2024-07-30,14:47:00,car,2
2024-07-30,14:47:00,car,5
2024-07-30,14:48:00,car,1
2024-07-30,14:48:00,car,2
2024-07-30,14:51:00,car,2
2024-07-30,14:53:00,car,1
2024-07-30,14:58:00,car,1
2024-07-30,14:59:00,car,2
2024-07-30,14:59:00,car,3
2024-07-30,15:01:00,car,1
2024-07-30,15:02:00,car,1
2024-07-30,15:02:00,car,2
2024-07-30,15:06:00,car,1
2024-07-30,15:10:00,car,1
2024-07-30,15:10:00,car,2
2024-07-30,15:11:00,car,1
2024-07-30,15:11:00,car,2
2024-07-30,15:11:00,car,4
2024-07-30,15:12:00,car,2
2024-07-30,15:13:00,car,2
2024-07-30,15:13:00,truck,1
